r,N,N0,simulation,condfixtime_mean,condfixtime_std,nsamples
8.0,100,10,"full (moran, split)",0.6967114016268354,0.3769685431599074,9545
8.0,100,20,"full (asymmetric, branch)",6.467338463572972,3.6561152756248396,25032
8.0,100,20,"full (asymmetric, split)",6.347297647677999,3.5700773430698014,25283
8.0,100,20,"full (moran, split)",0.7703200865702453,0.42909233993810203,9434
8.0,100,30,"full (asymmetric, branch)",11.089142128578887,6.083498659895909,24745
8.0,100,30,"full (asymmetric, split)",9.400720080701815,5.00447738612567,24919
8.0,100,30,"full (moran, split)",0.8031369433967452,0.4287529895141829,9322
8.0,100,40,"full (asymmetric, branch)",17.18675322256582,9.728676088922857,24279
8.0,100,40,"full (asymmetric, split)",12.042164295519747,6.970196787046052,24863
8.0,100,40,"full (moran, split)",0.8092843363242331,0.4382527185554272,9519
8.0,100,50,"full (asymmetric, branch)",25.73558168267364,13.887084674260594,23770
8.0,100,50,"full (asymmetric, split)",12.940777854020993,7.35457362817515,24921
8.0,100,50,"full (moran, split)",0.8180613078698189,0.4399956352995312,9516
8.0,100,60,"full (asymmetric, branch)",37.7213991347037,21.2128266283848,23769
8.0,100,60,"full (asymmetric, split)",11.676893126322298,6.204990365402774,24739
8.0,100,60,"full (moran, split)",0.8221682294390553,0.45501699342286483,9604
8.0,100,70,"full (asymmetric, branch)",58.843176875719955,30.58739321325811,23009
8.0,100,70,"full (asymmetric, split)",9.235312126485908,5.059126205956912,25146
8.0,100,70,"full (moran, split)",0.7951882053380243,0.4325458574884904,9525
8.0,100,80,"full (asymmetric, branch)",91.84775999426883,42.61341911725351,21635
8.0,100,80,"full (asymmetric, split)",6.193007862252832,3.4188130777027474,25209
8.0,100,80,"full (moran, split)",0.7671038335793139,0.4263698920743021,9460
8.0,100,90,"full (asymmetric, branch)",202.53519369690045,102.70076101343436,17752
8.0,100,90,"full (asymmetric, split)",3.046914946151009,1.813126768744542,25538
8.0,100,90,"full (moran, split)",0.6868586579237268,0.3887633687711199,9519
