N,N0,μ,r,update,confint,gradient
100,50,0.01,20.0,Moran,3.117458759756593,2.445649260204078
100,50,0.01,40.0,asymmetric,3.632345111473297,1.3759213775510204
100,50,0.01,40.0,Moran,3.3500525710907505,2.3933824489795934
100,50,1.0,2.5,asymmetric,1418.3032885588452,106.62251419642863
100,50,1.0,2.5,Moran,232.6622748113985,239.34714117346942
100,50,1.0,5.0,asymmetric,1057.6478145380358,118.86126244897955
100,50,1.0,5.0,Moran,216.2989262797596,240.1909086096943
100,50,1.0,10.0,asymmetric,667.9788016590394,123.76984200255104
100,50,1.0,10.0,Moran,232.07228916364275,240.41883742346923
100,50,1.0,20.0,asymmetric,419.5709782332368,130.33326590561225
100,50,1.0,20.0,Moran,218.54943909344917,239.50241839285707
100,50,1.0,40.0,asymmetric,327.0795757282704,138.55849784438757
100,50,1.0,40.0,Moran,219.51022446474536,239.37276327806134
